,CH,CU,FC,FF,SI,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SI,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,1,0,0,0,0,0,1,2,1,1,0,2,5,47,4,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93.7,12.0,0.8580833333333331,1.5086333333333333,0.72,3.87
1,0,0,0,1,0,0,0,0,2,1,0,1,2,5,47,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.7,13.0,0.19008333333333327,1.0557,-1.72,1.88
2,0,0,0,1,0,0,0,0,1,1,0,1,2,5,47,2,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,92.7,9.0,1.420316666666667,0.7790666666666666,0.8,2.05
3,0,0,0,0,1,0,0,0,0,1,0,1,2,5,47,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,1,0,0,3,2,1,0,0,2,5,46,7,5,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,93.2,14.0,0.9040083333333332,1.246333333333333,0.84,2.61
5,0,0,0,0,1,0,0,3,2,1,0,0,2,5,46,6,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86.0,14.0,0.81355,0.5038666666666666,1.47,2.62
6,1,0,0,0,0,0,0,2,2,1,0,0,2,5,46,5,5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.2,2.0,0.851125,1.3423666666666667,-0.14,3.22
7,0,0,0,1,0,0,0,2,1,1,0,0,2,5,46,4,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.6,6.0,0.7606666666666666,1.3079666666666667,0.69,2.66
8,0,0,0,1,0,0,0,2,0,1,0,0,2,5,46,3,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85.4,14.0,1.3785666666666667,0.6314333333333332,1.19,1.26
9,1,0,0,0,0,0,0,1,0,1,0,0,2,5,46,2,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93.1,2.0,1.1920833333333332,1.3337666666666668,-0.11,3.35
